"nummer";"stg";"aaspf_echt";"abschluss";"fachrich";"fachriche";"stgart";"name";"teilzeit";"rsem_vz";"rsem_tz";"rsem_dual";"wie";"pvers_vz";"pvers_tz";"pvers_dual";"ects_vz";"ects_tz";"ects_dual";"titelkz_m_vz";"titelkz_m_tz";"titelkz_m_dual";"titelkz_w_vz";"titelkz_w_tz";"titelkz_w_dual";"praxis_vz";"praxis_tz";"praxis_dual";"statdat";"zuordnung";"berufsbegleitend";"sem";"erst_sem";"hoeheres_sem";"start_1";"end_1";"start_h";"end_h";"vorpraxis";"akkreditiert_von";"akkreditiert_bis";"akkreditiert_agentur";"anz_sp_vz";"anz_sp_tz";"anz_sp_dual";"studienrichtung_vz";"studienrichtung_tz";"studienrichtung_dual";"schwerpunkt_vz";"schwerpunkt_tz";"schwerpunkt_dual";"po_url_vz";"po_url_tz";"po_url_dual"
"03";"FE";"M";"Master";"Fahrzeugmechatronik";"Automotive Mechatronics";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"0";"Vollzeit / Teilzeit";"121M";"220M";"-";"90";"90";"0";"M.Sc.";"M.Sc.";"";"M.Sc.";"M.Sc.";"";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_FEM_220_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_FEM_220_SPO.pdf";""
"99";"GA";"Z";"";"Gaststudium";"";"997";"Keine Abschlussprüfung möglich bzw. angestrebt";"1";"1";"0";"0";"Vollzeit";"";"-";"-";"";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"B";"220";"Wahr";"Falsch";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"";""
"08";"GD";"B";"Bachelor";"Angewandte Geodäsie und Geoinformatik";"Angewandte Geodäsie und Geoinformatik";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"216B";"-";"216B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|---~0~|Praxissemester~6~18";"";"---~0~|---~0~|Praxissemester~6~18";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/08_GDB_216_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/08_GDB_216_SPO.pdf"
"11";"GE";"M";"Master";"Gesellschaftlicher Wandel und Teilhabe";"Social Changes and Participation";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"0";"Vollzeit";"215M";"-";"-";"90";"0";"0";"M.A.";"";"";"M.A.";"";"";"---~0~|---~0~|---~0~";"";"";"SW";"S";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_GEM_215_SPO.pdf";"";""
"08";"GI";"B";"Bachelor";"Geoinformatik und Satellitenpositionierung";"Geoinformatics and Satellite Positioning";"184";"Erststudium Bachelor an Fachhochschulen";"3";"7";"0";"7";"Vollzeit / Dual";"";"-";"";"";"0";"";"";"";"";"";"";"";"";"";"";"IW";"T";"N";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";""
"08";"GN";"B";"Bachelor";"Geoinformatik und Navigation";"Geoinformatics and Navigation";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"217B";"-";"217B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|---~0~|Praxissemester~5~18";"";"---~0~|---~0~|Praxissemester~5~18";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/08_GNB_217_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/08_GNB_217_SPO.pdf"
"08";"GO";"B";"Bachelor";"Geotelematik und Navigation";"Geotelematics and Navigation";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"";"-";"";"";"0";"";"";"";"";"";"";"";"";"";"";"IW";"T";"N";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";""
"08";"GO";"M";"Master";"Geomatik";"Geomatics";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"3";"Vollzeit / Teilzeit / Dual";"212M";"111M";"212M";"90";"90";"90";"M.Eng.";"M.Eng.";"M.Eng.";"M.Eng.";"M.Eng.";"M.Eng.";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"1";"3";"1";"";"";"";"Angewandte Geodäsie;Kartographie/Geomedientechnik;Navigation";"Angewandte Geodäsie;Kartographie/Geomedientechnik;Navigation";"Angewandte Geodäsie;Kartographie/Geomedientechnik;Navigation";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/08_GOM_212_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/08_GOM_111_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/08_GOM_212_SPO.pdf"
"10";"GR";"M";"Master";"Green Economy and Digital Innovation";"Green Economy and Digital Innovation";"690";"Weiterbildungsstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"2";"0";"5";"0";"Teilzeit";"-";"";"-";"0";"";"0";"";"";"";"";"";"";"";"";"";"WW";"";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"";"";""
"09";"GS";"Z";"";"Gründung eines eigenen Start-ups";"Founding your own start-up";"494";"Ergänzungs-, Erweiterungs- und Zusatzstudium Abschlusszeugnis/Zertifikat";"2";"0";"2";"0";"Teilzeit";"-";"119Z";"-";"0";"";"0";"";"";"";"";"";"";"";"---~0~|---~0~|---~0~";"";"WW";"";"N";"220";"Wahr";"Falsch";"15.11.2020";"19.02.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/mediapool/media/dachmarke/dm_transfer/diehochschulemnchen/satzungen/dokumente2010/erwerb_hochschulzertifikat_gruendung_eines_eigenen_start_ups/grundfassung_28/Satzung_Ausfertigung_Bekanntmachung.pdf";""
