"nummer";"stg";"aaspf_echt";"abschluss";"fachrich";"fachriche";"stgart";"name";"teilzeit";"rsem_vz";"rsem_tz";"rsem_dual";"wie";"pvers_vz";"pvers_tz";"pvers_dual";"ects_vz";"ects_tz";"ects_dual";"titelkz_m_vz";"titelkz_m_tz";"titelkz_m_dual";"titelkz_w_vz";"titelkz_w_tz";"titelkz_w_dual";"praxis_vz";"praxis_tz";"praxis_dual";"statdat";"zuordnung";"berufsbegleitend";"sem";"erst_sem";"hoeheres_sem";"start_1";"end_1";"start_h";"end_h";"vorpraxis";"akkreditiert_von";"akkreditiert_bis";"akkreditiert_agentur";"anz_sp_vz";"anz_sp_tz";"anz_sp_dual";"studienrichtung_vz";"studienrichtung_tz";"studienrichtung_dual";"schwerpunkt_vz";"schwerpunkt_tz";"schwerpunkt_dual";"po_url_vz";"po_url_tz";"po_url_dual"
"08";"KA";"B";"Bachelor";"Kartographie und Geomedientechnik";"Cartography and Geomedia-Technology";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"0";"Vollzeit";"111B";"-";"-";"210";"0";"0";"B.Eng.";"";"";"B.Eng.";"";"";"---~0~|---~0~|Praxissemester~5~20";"";"";"IW";"T";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/08_KAB_111_SPO.pdf";"";""
"08";"KG";"B";"Bachelor";"Kartographie|Geomedientechnik";"Cartography|Geomedia Technology";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"0";"Vollzeit";"216B";"-";"-";"210";"0";"0";"B.Eng.";"";"";"B.Eng.";"";"";"---~0~|---~0~|Praxissemester~5~19";"";"";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/08_KGB_216_SPO.pdf";"";""
"09";"LM";"B";"Bachelor";"Wirtschaftsingenieurwesen Logistik";"Logistics Management";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"219B";"-";"219B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|Vorpraxis~0~10|Praxissemester~5~20";"";"---~0~|Vorpraxis~0~10|Praxissemester~5~20";"WW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/09_LMB_219_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/09_LMB_219_SPO.pdf"
"03";"LR";"B";"Bachelor";"Luft- und Raumfahrttechnik";"Aerospace Engineering";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"220B";"-";"220B";"210";"0";"210";"";"";"";"";"";"";"Vorpraxis~0~12|---~0~|Praxissemester~5~20";"";"Vorpraxis~0~12|---~0~|Praxissemester~5~20";"IW";"T";"N";"220";"Wahr";"Wahr";"01.12.2020";"15.01.2021";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_LRB_220_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_LRB_220_SPO.pdf"
"03";"LR";"M";"Master";"Luft- und Raumfahrttechnik";"Aerospace Engineering";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"0";"Vollzeit / Teilzeit";"118M";"218M";"-";"90";"90";"0";"M.Sc.";"M.Sc.";"";"M.Sc.";"M.Sc.";"";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_LRM_118_SPO.pdf";"https://w3-mediapool.hm.edu/mediapool/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_LRM_118_SPO.pdf";""
"03";"MB";"B";"Bachelor";"Maschinenbau";"Mechanical Engineering";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"220B";"-";"220B";"210";"0";"210";"B.Sc.";"";"B.Sc.";"B.Sc.";"";"B.Sc.";"Vorpraxis~0~12|---~0~|Praxissemester~5~20";"";"Vorpraxis~0~12|---~0~|Praxissemester~5~20";"IW";"T";"N";"220";"Wahr";"Wahr";"01.12.2020";"15.01.2021";"15.11.2020";"15.01.2021";"";"";"";"";"1";"0";"1";"";"";"";"Energietechnik;Mechatronik;Produktentwicklung;Produktion";"";"Energietechnik;Mechatronik;Produktentwicklung;Produktion";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_MBB_220_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_MBB_220_SPO.pdf"
"03";"MB";"D";"Diplom";"Maschinenbau";"Mechanical Engineering";"151";"Erststudium Diplom (FH)";"1";"8";"0";"0";"Vollzeit";"111D";"-";"-";"0";"0";"0";"B.Sc.";"";"";"B.Sc.";"";"";"---~0~|1.Praxissemester~3~|2.Praxissemester~6~";"";"";"IW";"T";"N";"";"";"";"";"";"";"";"";"";"";"";"1";"0";"0";"";"";"";"Allgemeiner Maschinenbau;Automatisierungstechnik;Energietechnik;Konstruktion;Produktionstechnik;Verfahrenstechnik";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_MBD_111_SPO.pdf";"";""
"03";"MB";"M";"Master";"Maschinenbau";"Mechanical Engineering";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"3";"Vollzeit / Teilzeit / Dual";"118M";"218M";"118M";"90";"90";"90";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"M.Sc.";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_MBM_118_SPO.pdf";"https://w3-mediapool.hm.edu/mediapool/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_MBM_118_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_MBM_118_SPO.pdf"
"06";"MF";"B";"Bachelor";"Mechatronik/Feinwerktechnik";"Mechatronics/Precision Engineering";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"215B";"-";"215B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~0|---~0~|2.Praxissemester~6~";"";"---~0~0|---~0~|2.Praxissemester~6~";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"Gerätetechnik;Medizintechnik";"";"Gerätetechnik;Medizintechnik";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_MFB_215_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_MFB_215_SPO.pdf"
"06";"MF";"M";"Master";"Mechatronik/Feinwerktechnik";"Mechatronics/Precision Engineering";"290";"Zweitstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"3";"Vollzeit / Teilzeit / Dual";"115M";"215M";"115M";"90";"90";"90";"M.Eng.";"M.Eng.";"M.Eng.";"M.Eng.";"M.Eng.";"M.Eng.";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_MFM_115_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_MFM_215_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_MFM_115_SPO.pdf"
"06";"MN";"M";"Master";"Mikro- und Nanotechnik";"Micro- and Nanotechnology";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"3";"Vollzeit / Teilzeit / Dual";"114M";"";"114M";"90";"";"90";"M.Sc.";"";"M.Sc.";"M.Sc.";"";"M.Sc.";"---~0~|---~0~|---~0~";"";"---~0~|---~0~|---~0~";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_MNM_114_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_MNM_114_SPO.pdf"
"10";"MS";"M";"Master";"MBA Management & Business Strategy";"MBA Management & Business Strategy";"690";"Weiterbildungsstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"2";"0";"5";"0";"Teilzeit";"-";"";"-";"0";"";"0";"";"";"";"";"";"";"";"";"";"WW";"W";"B";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"";"";""
"06";"MT";"B";"Bachelor";"Mechatronik/Feinwerktechnik (Teilzeitstudium)";"Mechatronics/Precision Engineering";"184";"Erststudium Bachelor an Fachhochschulen";"2";"0";"11";"0";"Teilzeit";"-";"215B";"-";"0";"210";"0";"";"B.Eng.";"";"";"B.Eng.";"";"";"---~0~|---~0~|Praxissemester~9~";"";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"Gerätetechnik;Medizintechnik";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_MTB_215_SPO.pdf";""
"06";"PA";"B";"Bachelor";"Produktion und Automatisierung (international)";"Production and Automation";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"0";"Vollzeit";"114B";"-";"-";"210";"0";"0";"B.Eng.";"";"";"B.Eng.";"";"";"---~0~|Praxisphase 1~3~|Praxisphase 2~6~";"";"";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"";""
"06";"PA";"M";"Master";"Produktion und Automatisierung (international)";"Production and Automation";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"0";"Vollzeit";"114M";"-";"-";"90";"0";"0";"M.Eng.";"";"";"M.Eng.";"";"";"---~0~|---~0~|---~0~";"";"";"IW";"T";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_PAM_114_SPO.pdf";"";""
"03";"PD";"B";"Bachelor";"Produktionstechnik";"Production Engineering";"184";"Erststudium Bachelor an Fachhochschulen";"2";"0";"11";"0";"Teilzeit";"-";"";"-";"0";"";"0";"";"";"";"";"";"";"";"";"";"IW";"T";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"";"";""
"11";"PF";"B";"Bachelor";"Pflege";"Nursing Studies";"184";"Erststudium Bachelor an Fachhochschulen";"3";"9";"0";"9";"Vollzeit / Dual";"";"-";"211B";"";"0";"210";"";"";"B.Sc.";"";"";"B.Sc.";"";"";"---~0~|---~0~|2.Praxissemester~0~";"SW";"S";"N";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_PFB_211_SPO.pdf"
"11";"PF";"M";"Master";"Advanced Nursing Practice";"Advanced Nursing Practice";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"2";"0";"5";"0";"Teilzeit";"-";"216M";"-";"0";"90";"0";"";"M.Sc.";"";"";"M.Sc.";"";"";"---~0~|---~0~|---~0~";"";"SW";"S";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_PFM_216_SPO.pdf";""
"11";"PF";"Z";"";"Advanced Nursing Practice (Modulstudium)";"Advanced Nursing Practice (Modulstudium)";"494";"Ergänzungs-, Erweiterungs- und Zusatzstudium Abschlusszeugnis/Zertifikat";"2";"0";"1";"0";"Teilzeit";"-";"";"-";"0";"";"0";"";"";"";"";"";"";"";"";"";"SW";"";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"";"";""
"06";"PH";"B";"Bachelor";"Physikalische Technik";"Engineering Physics";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"217B";"-";"217B";"210";"0";"210";"B.Sc.";"";"B.Sc.";"B.Sc.";"";"B.Sc.";"---~0~|---~0~|Praxissemester~5~";"";"---~0~|---~0~|Praxissemester~5~";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_PHB_217_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_PHB_217_SPO.pdf"
"13";"PI";"B";"Bachelor";"Internationales Projektmanagement";"International Project Management";"184";"Erststudium Bachelor an Fachhochschulen";"2";"0";"11";"0";"Teilzeit";"-";"220B";"-";"0";"210";"0";"";"B.A.";"";"";"B.A.";"";"";"---~0~|1.Praxissemester~9~|2.Praxissemester~10~";"";"WW";"W";"B";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"Betriebswirtschaftslehre und Unternehmensführung;Kultur;Wirtschaftsinformatik";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/13_PIB_220_SPO.pdf";""
"05";"PK";"M";"Master";"Paper Technology (konsekutiv)";"Paper Technology (consecutive)";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"0";"Vollzeit / Teilzeit";"213M";"118M";"-";"90";"90";"0";"M.Eng.";"";"";"M.Eng.";"";"";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/05_PKM_213_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/05_PKM_213_SPO.pdf";""
"10";"PM";"M";"Master";"Personalmanagement";"Human Resource Management";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"0";"Vollzeit";"";"-";"-";"";"0";"0";"";"";"";"";"";"";"";"";"";"WW";"W";"N";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"";""
"06";"PN";"B";"Bachelor";"Produktion und Automatisierung";"Production and Automation";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"115B";"-";"115B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|1.Praxissemester~3~|2.Praxissemester~6~";"";"---~0~|1.Praxissemester~3~|2.Praxissemester~6~";"IW";"T";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_PNB_115_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_PNB_115_SPO.pdf"
"06";"PO";"M";"Master";"Photonik";"Photonics";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"3";"Vollzeit / Teilzeit / Dual";"115M";"";"115M";"90";"";"90";"M.Sc.";"";"M.Sc.";"M.Sc.";"";"M.Sc.";"---~0~|---~0~|---~0~";"";"---~0~|---~0~|---~0~";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_POM_113_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/06_POM_113_SPO.pdf"
"05";"PR";"M";"Master";"Printmedien, Technologie und Management";"Print Media, Technology and Management";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"0";"Vollzeit";"112M";"-";"-";"90";"0";"0";"M.Eng.";"";"";"M.Eng.";"";"";"---~0~|---~0~|---~0~";"";"";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/05_PRM_119_SPO.pdf";"";""
"06";"PT";"B";"Bachelor";"Technische Physik";"";"184";"Erststudium Bachelor an Fachhochschulen";"1";"0";"0";"0";"?";"-";"-";"-";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"";""
"05";"PW";"M";"Master";"Paper Technology (Weiterbildung)";"Paper Technology (post-graduate)";"690";"Weiterbildungsstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"4";"8";"0";"Vollzeit / Teilzeit";"115M";"116M";"-";"120";"120";"0";"M.Eng.";"M.Eng.";"";"M.Eng.";"M.Eng.";"";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"";"IW";"T";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/05_PWM_115_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/05_PWM_115_SPO.pdf";""
"11";"PY";"M";"Master";"Psychotherapie mit Schwerpunkt Verhaltenstherapie";"Psychotherapy Specialized in Cognitive-Behavioral Therapy";"690";"Weiterbildungsstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"2";"0";"4";"0";"Teilzeit";"-";"215M";"-";"0";"60";"0";"";"M.A.";"";"";"M.A.";"";"";"---~0~|---~0~|---~0~";"";"SW";"S";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_PYM_215_SPO.pdf";""
"13";"PZ";"Z";"";"International Project Management Certificate";"International Project Management Certificate";"494";"Ergänzungs-, Erweiterungs- und Zusatzstudium Abschlusszeugnis/Zertifikat";"2";"1";"1";"0";"Vollzeit / Teilzeit";"";"";"-";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"B";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";""
"04";"RE";"B";"Bachelor";"Regenerative Energien - Elektrotechnik";"Renewable Energies - Energy Technology";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"7";"Vollzeit / Dual";"216B";"-";"216B";"210";"0";"210";"B.Eng.";"";"B.Eng.";"B.Eng.";"";"B.Eng.";"---~0~|---~0~|Praxissemester~5~";"";"---~0~|---~0~|Praxissemester~5~";"IW";"T";"N";"220";"Wahr";"Wahr";"01.12.2020";"15.01.2021";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/04_REB_216_SPO.pdf";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/04_REB_216_SPO.pdf"
"03";"RS";"M";"Master";"Applied Research in Engineering Sciences";"Applied Research in Engineering Sciences";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"1";"3";"0";"0";"Vollzeit";"120M";"-";"-";"90";"0";"0";"";"";"";"";"";"";"---~0~|---~0~|---~0~";"";"";"IW";"T";"N";"220";"Wahr";"Falsch";"15.11.2020";"15.01.2021";"";"";"";"";"";"";"0";"0";"0";"Biotechnologie/Bioingenieurwesen;Computational Engineering;Elektrotechnik;Energiemanagement und Energietechnik;Fahrzeugmechatronik;Fahrzeugtechnik;Gebäudetechnik;Geomatik;Informatik;Luft- und Raumfahrttechnik;Maschinenbau;Mechatronik/Feinwerktechnik;Mikro- und Nanotechnik;Paper Technology;Photonik;Printmedien, Technologien und Management;Stochastic Engineering in Business and Finance;Systems Engineering;Verpackungstechnik;Wirtschaftsinformatik;Wirtschaftsingenieurwesen";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/03_RSM_120_SPO.pdf";"";""
"03";"RS";"Z";"";"Applied Research in Engineering Sciences (Modulstudium)";"Applied Research in Engineering Sciences (Modulstudium)";"494";"Ergänzungs-, Erweiterungs- und Zusatzstudium Abschlusszeugnis/Zertifikat";"2";"1";"0";"0";"Vollzeit";"";"-";"-";"";"0";"0";"";"";"";"";"";"";"";"";"";"IW";"T";"N";"220";"";"";"";"";"";"";"Falsch";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"";""
"11";"SB";"B";"Bachelor";"Soziale Arbeit BASA-Online";"Social Work - basa-online";"184";"Erststudium Bachelor an Fachhochschulen";"1";"8";"0";"0";"Vollzeit";"220B";"-";"-";"210";"0";"0";"B.A.";"";"";"B.A.";"";"";"---~0~|---~0~|---~0~";"";"";"SW";"S";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"1";"0";"0";"";"";"";"Bildungsarbeit mit Erwachsenen und älteren Menschen;Bildungsarbeit mit Kindern und Jugendlichen;Intergenerative Soziale Arbeit;Öffentliche Sozialverwaltung;Soziale Arbeit im Bereich Delinquenz;Soziale Arbeit mit alten Menschen;Soziale Arbeit mit Erwachsenen / Rehabilitation;Soziale Arbeit mit Kindern und Jugendlichen;Soziale Arbeit und Diversity";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_SBB_220_SPO.pdf";"";""
"99";"SC";"Z";"";"Summer School";"Summer School";"997";"Keine Abschlussprüfung möglich bzw. angestrebt";"1";"0";"0";"0";"?";"-";"-";"-";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"";""
"11";"SD";"M";"Master";"Diagnostik, Beratung und Intervention";"Diagnosis, Counselling and Intervention";"690";"Weiterbildungsstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"2";"0";"6";"0";"Teilzeit";"-";"220M";"-";"0";"90";"0";"";"M.A.";"";"";"M.A.";"";"";"---~0~|---~0~|---~0~";"";"SW";"S";"B";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_SDM_220_SPO.pdf";""
"11";"SE";"Z";"";"Soziale Arbeit in der Einwanderungsgesellschaft";"";"694";"Weiterbildungsstudium Abschlusszeugnis/Zertifikat";"2";"0";"2";"0";"Teilzeit";"-";"";"-";"0";"";"0";"";"";"";"";"";"";"";"";"";"SW";"";"B";"220";"Wahr";"Falsch";"";"";"";"";"";"";"";"";"0";"";"0";"";"";"";"";"";"";"";"";""
"11";"SF";"M";"Master";"Angewandte Forschung in der Sozialen Arbeit";"Applied Research in Social Work";"790";"Konsekutives Masterstudium Master an Fachhochschulen (Abschlussprüfung vorausgesetzt)";"3";"3";"6";"0";"Vollzeit / Teilzeit";"215M";"116M";"-";"90";"90";"0";"M.A.";"M.A.";"";"M.A.";"M.A.";"";"---~0~|---~0~|---~0~";"---~0~|---~0~|---~0~";"";"SW";"S";"N";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_SFM_215_SPO.pdf";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_SFM_116_SPO.pdf";""
"11";"SI";"B";"Bachelor";"Management Sozialer Innovationen";"Management of Social Innovations";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"0";"Vollzeit";"220B";"-";"-";"210";"0";"0";"";"";"";"";"";"";"---~0~|---~0~|Praxissemester~5~";"";"";"SW";"S";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_SIB_220_SPO.pdf";"";""
"11";"SK";"B";"Bachelor";"Bildung und Erziehung im Kindesalter-BEKI";"Childhood education (age 0 - 12)";"184";"Erststudium Bachelor an Fachhochschulen";"1";"7";"0";"0";"Vollzeit";"219B";"-";"-";"210";"0";"0";"B.A.";"";"";"B.A.";"";"";"---~0~|Praxisphase 1~0~|---~0~";"";"";"SW";"S";"N";"220";"Falsch";"Wahr";"";"";"15.11.2020";"15.01.2021";"";"";"";"";"0";"0";"0";"";"";"";"";"";"";"https://w3-mediapool.hm.edu/media/dachmarke/dm_transfer/download_13/spo_6/spo_versionen/11_SKB_119_SPO.pdf";"";""
